frequency,lambda_dist,link_id,RM_error,PWA_error,ConstM_error,ConstM_mape_sample,PWA_mape_sample,RM_mape_sample
139585090585.0,2.0,0,9.232700778915204e-07,9.971757737230458e-05,5.729841312240256,2.0451853979161756,0.00853192925176837,0.0008209671251200835
139585090585.0,2.0,1,0.07429459612120595,0.07019292986842518,0.18620933648018267,0.6965307428269141,0.42764780627053633,0.43996504810707937
139585090585.0,2.0,2,2.7280871817507317,2.7283843655346574,2.6368253848700935,3.170359419302698,3.2249322177779454,3.2247565783646004
139585090585.0,2.0,3,6.15362961912932e-05,0.0002793768446683642,5.048133527218176,1.6200645968229113,0.012052083130850173,0.00565630202480947
139585090585.0,2.0,4,4.077537087042991e-06,0.0007801138329130814,0.4053955674516639,0.5948117805364116,0.02609270191243372,0.0018864227414111627
139585090585.0,2.0,5,1.2366720947001896e-06,2.835337109100364e-06,3.2235240897880857,1.7685591201695696,0.0016586565693246834,0.0010954218582978957
139585090585.0,2.0,6,1.4151470619432182e-05,0.0001580804682238867,6.597464863887887,1.9670555688742046,0.00962868973391946,0.0028809045722501514
139585090585.0,2.0,7,0.019420422760262197,0.0213206219240128,1.8266225994338083,1.172420429455286,0.12666566240216096,0.12088942280987354
139585090585.0,2.0,8,7.517187308720144e-05,7.448818234486873e-05,0.8170884894290842,1.8254789611352473,0.017429541957885385,0.017509347889054852
139585090585.0,2.0,9,2.6662135786872943e-06,0.00016448541224619952,4.366292946061888,2.1840452910503636,0.013405064218106366,0.001706682254977122
139585090585.0,2.0,10,0.0001294756580742234,0.00014541022936511854,4.272063879591126,2.3898399841288422,0.013942717683196087,0.013156610495678513
139585090585.0,2.0,11,0.0007133664604714046,0.0007762105413849558,1.2991651195672493,0.9283236826252049,0.022691176931543357,0.02175322226751272
139585090585.0,2.0,12,0.005314359093195486,0.0011723533624385168,3.310741815804518,1.7303492538539014,0.032561198333375056,0.06932606678479777
139585090585.0,2.0,13,6.632594832370159e-07,6.646925754241304e-05,0.9101958929515127,1.6524645407674345,0.014121314554591499,0.0014106083404117622
