frequency,lambda_dist,link_id,RM_error,PWA_error,ConstM_error,ConstM_mape_sample,PWA_mape_sample,RM_mape_sample
28582426116.0,2.0,0,8.419867443119894e-07,3.3683478475133126e-06,0.8248385753990513,0.9607941542773176,0.0019415757431450356,0.0009707301026619775
28582426116.0,2.0,1,8.358712671279385,8.35618339231328,3.0815847860731553,0.7643176693428231,1.2586089635876794,1.2587994292689906
28582426116.0,2.0,2,,,,,,
28582426116.0,2.0,3,3.4847502013277156e-07,2.0207151226425867e-06,1.06539050999305,1.423571082025962,0.0019605471493385003,0.0008141615179839444
28582426116.0,2.0,4,2.6672913461740636e-06,2.5102264525554264e-05,3.860087995387611,1.8980246529699958,0.004840159768253476,0.001577751037786191
28582426116.0,2.0,5,,,,,,
28582426116.0,2.0,6,0.0014277096415425885,0.0016041126710544516,2.628096351736946,1.2838122705554609,0.031717453754540735,0.02992270333395558
28582426116.0,2.0,7,3.64316796303281e-07,3.1868873594739818e-06,0.6887389028746431,1.2093243541091065,0.0026013503600782455,0.0008795389746452954
28582426116.0,2.0,8,4.9717377157510884e-08,6.675418461590005e-08,0.7306941209316657,0.6845632994152148,0.00020691170212348348,0.0001785664687529987
28582426116.0,2.0,9,1.0508982964631855e-06,1.1752428551338002e-05,0.1836388099285476,0.5103120371614445,0.00408241722250299,0.0012207702069038254
28582426116.0,2.0,10,3.957476840208467e-07,2.815364977200394e-07,0.43343138767425493,1.9089608774775104,0.001538523735562207,0.0018240890648989266
28582426116.0,2.0,11,2.44200604497815e-07,6.639453587367447e-07,1.7155553935657297,1.141380452615133,0.0007100586581711431,0.00043062716735354996
28582426116.0,2.0,12,2.4181054655544314e-06,7.3986596077364855e-06,1.552484018025251,1.6800516023267704,0.0036676305001266916,0.0020967500955433433
28582426116.0,2.0,13,5.751762152857824e-07,6.910705844545053e-06,0.7722009537881105,0.6326139619577933,0.0018924952999495887,0.0005459766446666063
28582426116.0,2.0,14,1.4240630405779874e-05,5.1926081781640735e-05,0.4684484295789595,0.5388677808439855,0.0056734090945577,0.002971090848085895
28582426116.0,2.0,15,0.0007836815418871758,0.0008973559969795479,0.7886124269420102,1.0728204146438314,0.03618908525410421,0.03381933236556412
28582426116.0,2.0,16,,,,,,
28582426116.0,2.0,17,,,,,,
28582426116.0,2.0,18,2.861362174634222e-08,3.1114987559368005e-07,1.1805009583350148,1.8195057447148135,0.0009341251714399086,0.000283273973854482
28582426116.0,2.0,19,2.1878936900536612e-10,4.423879632755155e-10,0.14082108853894937,0.3752558097019017,2.103270967763409e-05,1.4791311527163874e-05
28582426116.0,2.0,20,0.004643037744219578,0.0047041575556246605,0.37594238260461665,0.8343289362101175,0.09332921024517049,0.09272092773194437
28582426116.0,2.0,21,1.705376621682315e-05,1.692749036210401e-05,0.9925033258645783,5.748045532996872,0.023738348531240166,0.023826725797942868
28582426116.0,2.0,22,0.0014207017777630622,0.0014059162694797828,3.031123200546824,4.206667382947224,0.09059747798311274,0.0910726223255837
28582426116.0,2.0,23,1.2984933986039063e-10,7.66526745839847e-08,3.9089188695349457,1.977076077682297,0.0002768590404710743,1.139501564921974e-05
28582426116.0,2.0,24,2.373796328292904e-06,5.59595590525536e-06,1.3447304434478418,0.863882105165533,0.0017622763025504932,0.0011477798239365863
28582426116.0,2.0,25,5.190382793119507e-05,1.2934061945314264e-05,2.8632904784412223,1.851015202831098,0.003934094152989502,0.007880921024524081
28582426116.0,2.0,26,1.1290564702255602e-06,1.8397104381418794e-06,0.5008012920908956,0.6856532646236286,0.0013141549161309431,0.001029507843595886
28582426116.0,2.0,27,3.344251269083775e-07,1.1760497131942599e-06,0.26504917691412233,0.40834680343191926,0.0008601590646951935,0.00045868588990631147
28582426116.0,2.0,28,0.003970151643661369,0.004275752801231916,0.3008519019647573,0.8746781762263854,0.10427452123120497,0.10047903552315264
28582426116.0,2.0,29,1.2465273847313887e-06,3.489401922804701e-05,0.9062531001860364,0.7750343839691042,0.004809187565790341,0.0009089649342608061
28582426116.0,2.0,30,0.0005199418566741451,0.0005568854811013014,0.4843634883235906,0.7333052405950398,0.02486463206985544,0.024025723789100555
28582426116.0,2.0,31,0.00011148786499465855,0.0001888186474471552,1.6988988454036458,1.3921428536568392,0.014676499460040628,0.011277526106634819
28582426116.0,2.0,32,0.010597380488297774,0.010603686544003012,1.196582882075545,1.1008958411482999,0.10363424284512454,0.1036034224083931
28582426116.0,2.0,33,,,,,,
28582426116.0,2.0,34,0.0002710555002094581,0.00023494417292894396,0.6879300476233529,1.2963048122666376,0.023956167047563426,0.025731440871222068
28582426116.0,2.0,35,0.040632906447132695,0.04063857460246715,0.30299248851978955,1.6129216347716262,0.5906994542729096,0.5906582582780664
28582426116.0,2.0,36,3.6733586667296484e-08,6.476670837466995e-08,0.13068977061123088,1.3474579963269198,0.0009485721091451489,0.000714374766250711
28582426116.0,2.0,37,1.491127273125956e-07,2.4335428651427807e-07,5.619296199679573,1.8133145428880466,0.0003773563672872173,0.00029538574916628294
28582426116.0,2.0,38,9.47433287421814e-07,1.3455646569690478e-06,0.40674968245752635,0.642777091245855,0.0011690930112832844,0.0009810047231918577
28582426116.0,2.0,39,24.818631990708113,24.808309156538833,20.909388433416115,0.8755436513053831,0.9536866880952544,0.9538850838337927
28582426116.0,2.0,40,,,,,,
28582426116.0,2.0,41,6.042299102804821e-07,9.59755620726297e-07,1.2987628707629923,2.2845812370209444,0.0019639119174798183,0.001558270264181293
